author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,videoId,voteCount,creator,housetype,channelId,channelName,channelUrl,channelUsername,comments,commentsTurnedOff,date,descriptionLinks/0/text,descriptionLinks/0/url,descriptionLinks/1/text,descriptionLinks/1/url,descriptionLinks/2/text,descriptionLinks/2/url,descriptionLinks/3/text,descriptionLinks/3/url,descriptionLinks/4/text,descriptionLinks/4/url,duration,id,input,isMonetized,likes,location,numberOfSubscribers,subtitles,text,thumbnailUrl,url,viewCount
@7123ful,False,UgyRBZQbWkgocstE9P94AaABAg,Id be stuck in that house for months looking at every detail. 😅,852,False,https://www.youtube.com/watch?v=usAuSclByI4,11 days ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@awesomeclips8253,False,Ugwchz6aJn-7dPlZIdV4AaABAg,The exterior of this house is beautiful but the interior needs major remodeling,852,False,https://www.youtube.com/watch?v=usAuSclByI4,2 weeks ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Elyse-v9t,False,UgwXiYHnW5_4nN_ZdKh4AaABAg,Spending that much money to do such horrible interior it’s 🤮🤮🤮🤮🤮🤮,852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 weeks ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BoopOnYourNose,False,UgyvNwF1X_wVXn_t4ah4AaABAg,"Watching in 2025. Did this place ever sell? Stunning grounds, beautiful views. However, that doll house & teddy bear jamboree thing is terrifying. If I was asleep and suddenly all that started up in the middle of the night I would run away screaming.
There might be bad juju attached to that dollhouse too. So when try to remove it YOU CAN'T!",852,False,https://www.youtube.com/watch?v=usAuSclByI4,1 month ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Taurus117,False,Ugz4AXn4nsn7pTUDOad4AaABAg,The interior makes me want to vomit!,852,False,https://www.youtube.com/watch?v=usAuSclByI4,1 month ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@infiniteuniverse123,False,Ugz1EE4jCftfNGTy03V4AaABAg,It is obvious that whoever built this house loves to trip,852,False,https://www.youtube.com/watch?v=usAuSclByI4,2 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@dantheman5020,False,UgxKpw5PmLYd_JMP9_p4AaABAg,"Ryan is so handsome and so charismatic.  The ultimate salesman.  He could sell snow to an Eskimo!  But pawning off this albatross is going to try even his best sales skills.  The grounds are amazing!  The interiors are just awful!  Just ghastly!  Some of the worst ever created!  Whoever owns this place is truly design challenged!  A perfect example of “you can give ‘em money, but you can’t give ‘em taste”!  HORRIFYING!",852,False,https://www.youtube.com/watch?v=usAuSclByI4,2 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nyacoustics8373,False,UgxLm-IxREezGqlN1h14AaABAg,its hideous on the inside,852,False,https://www.youtube.com/watch?v=usAuSclByI4,2 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,1.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jeffreykiesnoski7984,False,Ugxl9Zr6G__06oVsPbt4AaABAg,"This might be the gaudiest  home I’ve ever seen. What were the interior designers thinking?? Definitely could be useful for a Scarface remake movie set. Otherwise, level the home and start from scratch, you could sell the stone for repurposing for a wedding hall.",852,False,https://www.youtube.com/watch?v=usAuSclByI4,2 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@paradisedreamxo,False,UgxdNGkVnkKG5fMCkrN4AaABAg,Money can’t buy taste! The inside is horrible,852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sillypeople4873,False,UgyltJTKWKdoP9DqGYR4AaABAg,OMG what an ugly home. It's like someone vomited Las Vegas on Long Island.,852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 months ago (edited),0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@lacarlotta6290,False,UgzRXze4z59LNG7BDut4AaABAg,"So sad, more money than taste…….",852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Uknowjustin,False,UgySrVsYoNjB0lF5ICx4AaABAg,Inside is tacky as fick,852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
